,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,1649150,Bengkulu,88,ID,1579997993,89,-3.8,102.27,23.88,1.09
243,1650232,Banjar,20,ID,1579998162,83,-8.19,114.97,29.0,1.5
73,1651810,Airai,100,TL,1579998028,76,-8.93,125.41,24.63,0.46
576,1714733,Dingle,43,PH,1579998133,84,11.0,122.67,25.91,2.55
961,1718517,Caramay,83,PH,1579998189,75,10.18,119.24,26.4,0.72
707,1722626,Bunguiao,20,PH,1579998149,79,7.1,122.2,29.0,1.0
1022,1729469,Baculin,0,PH,1579998197,76,7.45,126.58,25.77,0.68
166,1734098,Keningau,75,MY,1579998152,79,5.34,116.16,29.0,1.0
120,1735106,George Town,20,MY,1579998139,88,5.41,100.34,26.0,1.35
336,1785738,Yuncheng,100,CN,1579998179,90,35.02,110.99,0.81,1.34
1440,1788852,Xining,0,CN,1579998864,77,36.62,101.77,-12.14,2.06
960,1792916,Tianpeng,40,CN,1579998188,70,30.99,103.94,8.0,2.0
453,1794209,Simao,0,CN,1579998197,77,22.79,100.97,3.94,1.09
871,1795565,Shenzhen,90,CN,1579998173,93,22.55,114.07,16.67,7.0
143,1795632,Shenjiamen,100,CN,1579998149,89,29.96,122.3,12.66,9.35
878,1802204,Luancheng,99,CN,1579998173,92,37.88,114.65,-6.0,1.0
827,1805884,Jiehu,100,CN,1579998165,53,35.54,118.45,1.03,5.23
1051,1817240,Baiyin,40,CN,1579998203,85,36.56,104.21,-3.89,0.54
1244,1817858,Babu,98,CN,1579998146,89,24.42,111.52,6.14,3.26
588,1819729,Hong Kong,75,HK,1579998134,93,22.29,114.16,16.67,12.3
928,1830377,Lumphat,97,KH,1579998184,74,13.49,106.98,20.8,0.38
68,1835848,Seoul,100,KR,1579997998,86,37.57,126.98,0.0,1.0
676,1847947,Shingu,75,JP,1579998008,87,33.73,135.98,9.0,1.0
520,1849831,Toyooka,75,JP,1579998208,93,35.53,134.83,5.0,0.47
394,1855540,Naze,75,JP,1579998188,100,28.37,129.48,21.0,4.1
1184,1856392,Muroto,75,JP,1579998138,87,33.28,134.15,10.0,3.1
360,1857496,Matsusaka,75,JP,1579998183,75,34.57,136.53,8.0,1.0
1487,1863997,Fukuecho,75,JP,1579999006,76,32.69,128.84,11.0,9.3
393,2013176,Yakovlevka,0,RU,1579998188,80,44.42,133.48,-18.26,1.72
145,2013392,Vilyuysk,95,RU,1579998149,96,63.76,121.62,-34.71,4.56
1550,2013639,Verkhnevilyuysk,91,RU,1579998929,96,63.45,120.32,-29.09,3.42
149,2014624,Udachny,85,RU,1579997925,74,66.42,112.4,-33.0,2.0
913,2015306,Tiksi,0,RU,1579998563,67,71.69,128.87,-32.51,2.46
318,2017155,Saskylakh,100,RU,1579997525,92,71.92,114.08,-28.89,7.86
840,2017378,Rudnogorsk,100,RU,1579998167,90,57.26,103.75,-7.34,3.81
487,2018069,Peleduy,99,RU,1579998203,92,59.63,112.74,-7.8,3.4
1029,2019135,Nizhniy Kuranakh,97,RU,1579998199,98,58.84,125.49,-22.48,0.78
728,2019951,Mirny,75,RU,1579998152,83,62.54,113.96,-25.0,2.0
608,2021041,Kyra,8,RU,1579998137,79,49.58,111.98,-19.38,1.3
1140,2021093,Kuytun,41,RU,1579998133,81,54.34,101.5,-11.87,2.43
215,2022572,Khatanga,57,RU,1579998158,91,71.97,102.5,-31.19,1.29
856,2022773,Khandyga,36,RU,1579998170,97,62.67,135.6,-44.93,0.45
604,2027042,Batagay-Alyta,0,RU,1579998131,54,67.8,130.41,-36.88,1.96
327,2027044,Batagay,1,RU,1579998175,94,67.63,134.63,-41.56,1.02
322,2030065,Mandalgovi,0,MN,1579998175,67,45.76,106.27,-11.86,4.91
230,2031964,Darhan,3,MN,1579997901,79,49.49,105.92,-16.01,2.48
353,2033536,Yakeshi,78,CN,1579998182,99,49.28,120.73,-23.35,1.7
1598,2034691,Songjianghe,0,CN,1579999137,78,42.19,127.48,-13.24,1.6
540,2035565,Nong'an,0,CN,1579998211,76,44.38,125.17,-21.0,2.0
99,2036713,Huanren,0,CN,1579998144,77,41.26,125.37,-13.03,1.1
377,2037078,Hailar,43,CN,1579998007,92,49.2,119.7,-20.25,3.26
55,2037485,Erenhot,0,CN,1579997891,78,43.65,111.98,-10.02,3.45
782,2037534,Dunhua,0,CN,1579998159,76,43.37,128.24,-15.22,1.18
561,2038421,Bayan,0,CN,1579998214,91,46.08,127.4,-20.77,1.98
203,2038438,Baoshan,15,CN,1579998157,76,46.56,131.42,-15.43,4.38
1532,2057087,Kupang,75,ID,1579999038,88,-10.17,123.58,27.0,1.0
1682,2062276,Roebourne,3,AU,1579999233,33,-20.78,117.13,33.36,1.12
332,2063036,Port Lincoln,41,AU,1579998179,67,-34.73,135.87,20.33,2.71
419,2063042,Port Hedland,0,AU,1579998191,52,-20.32,118.57,33.0,5.1
1516,2065594,Mount Isa,40,AU,1579999041,94,-20.73,139.5,25.0,2.6
139,2068110,Kununurra,93,AU,1579998149,74,-15.77,128.73,30.0,2.1
1507,2070998,Geraldton,40,AU,1579999029,78,-28.77,114.6,24.0,6.2
720,2071860,Esperance,86,AU,1579998151,68,-33.87,121.9,22.0,3.6
48,2074865,Carnarvon,15,AU,1579997778,78,-24.87,113.63,25.0,6.2
586,2075265,Busselton,19,AU,1579998127,77,-33.65,115.33,20.0,0.89
936,2077895,Alice Springs,0,AU,1579998033,27,-23.7,133.88,31.0,7.7
714,2079582,Alyangula,75,AU,1579998150,70,-13.85,136.42,31.0,4.6
512,2088122,Port Moresby,71,PG,1579998094,71,-9.44,147.18,28.56,2.23
100,2088163,Popondetta,87,PG,1579998144,64,-8.75,148.25,29.15,1.33
1580,2090021,Namatanai,82,PG,1579999114,73,-3.67,152.43,29.26,4.88
1450,2092164,Lorengau,12,PG,1579998930,73,-2.02,147.27,28.42,1.89
547,2094027,Kieta,15,PG,1579998212,67,-6.22,155.63,29.39,2.39
1373,2094342,Kavieng,95,PG,1579998874,71,-2.57,150.8,29.09,4.01
36,2110227,Butaritari,12,KI,1579997779,72,3.07,172.79,29.46,4.72
783,2112309,Katsuura,75,JP,1579998159,93,35.13,140.3,4.44,3.6
1307,2112802,Hasaki,75,JP,1579998797,100,35.73,140.83,4.0,2.1
1363,2120591,Tilichiki,100,RU,1579998784,84,60.47,166.1,-3.61,8.07
1185,2120612,Tigil,100,RU,1579998139,80,57.8,158.67,-2.59,9.56
51,2121385,Severo-Kuril'sk,100,RU,1579998008,92,50.68,156.12,-7.38,19.44
1407,2122090,Pevek,100,RU,1579998914,96,69.7,170.31,-25.08,0.8
1559,2122493,Omsukchan,100,RU,1579999090,100,62.53,155.8,-34.72,4.22
1111,2122605,Okhotsk,71,RU,1579998212,71,59.38,143.3,-28.6,6.63
1078,2123278,Mil'kovo,100,RU,1579998208,95,54.72,158.62,-8.28,1.45
260,2123628,Magadan,100,RU,1579997877,80,59.57,150.8,-18.64,7.94
57,2123814,Leningradskiy,97,RU,1579998138,95,69.38,178.42,-24.67,1.88
710,2125693,Evensk,100,RU,1579998150,84,61.95,159.23,-9.86,8.11
894,2126123,Chokurdakh,85,RU,1579997913,82,70.63,147.92,-32.36,1.9
1293,2126199,Cherskiy,100,RU,1579998781,95,68.75,161.3,-29.38,1.02
741,2126710,Beringovskiy,100,RU,1579998154,84,63.05,179.32,-9.55,3.51
1010,2127878,Mutsu,20,JP,1579998196,58,41.29,141.22,-2.0,1.0
749,2128975,Nemuro,20,JP,1579998155,52,43.32,145.57,-9.0,1.0
342,2132606,Samarai,67,PG,1579998180,58,-10.62,150.67,30.8,1.17
1276,2136825,Isangel,75,VU,1579998761,70,-19.55,169.27,30.0,4.1
970,2137773,Vao,66,NC,1579998190,77,-22.67,167.48,25.63,7.17
754,2138555,Poum,89,NC,1579998155,80,-20.23,164.02,26.61,8.86
1014,2151955,Redcliffe,75,AU,1579998197,62,-27.23,153.1,30.0,4.6
717,2155415,New Norfolk,40,AU,1579998151,60,-42.78,147.06,24.44,3.6
1525,2156643,Mount Gambier,90,AU,1579999051,93,-37.83,140.77,16.0,6.7
1494,2159220,Mackay,75,AU,1579998979,94,-21.15,149.2,25.0,3.1
473,2160413,Leeton,0,AU,1579998201,23,-34.57,146.4,30.56,4.1
1144,2163355,Hobart,75,AU,1579997988,72,-42.88,147.33,23.33,3.6
280,2171099,Codrington,76,AU,1579998168,89,-38.27,141.97,16.87,6.64
696,2179670,Wanganui,79,NZ,1579998148,62,-39.93,175.05,25.56,8.05
241,2180815,Tuatapere,78,NZ,1579997779,47,-46.13,167.68,22.41,1.55
